id,bestEntropyAspectId,text,like,dislike,1-rate,2-rate,3-rate,4-rate,5-rate,6-rate,1-entropy,2-entropy,3-entropy,4-entropy,5-entropy,6-entropy
125,6,"قیمت گوشی سونی یکیه مشخصاتش شبیهه سونی صرفه تره",4,10,3,4,3,4,4,2,-1.4385699348683,-1.2866361191421,-1.3429464797406,-1.3313386906982,-1.3320688325307,-1.4860022172501
127,6,"سونی هسته ایه هسته سونی گرد غباره سونی NFC داره نداره",4,10,3,4,3,4,4,2,-1.3859327611755,-1.2629215899418,-1.3603293856769,-1.3060134904347,-1.3148849758653,-1.4976503709363
129,6,"سال خوبه عالیه باتریش خوبه 2روز میره پیشنهاد میکنن بخرید",3,1,5,5,5,5,5,5,-1.348963442473,-1.2909322839872,-1.3161693502426,-1.3084545335921,-1.2848152616461,-1.4444319320094
130,6,"4جی باشه خیلیم عالی",2,0,3,3,3,3,3,3,-1.3272920302548,-1.2934060114226,-1.314807020416,-1.274586593173,-1.2817523237172,-1.4641795403649
131,6,"خوبه اگه نخری ظرر",2,0,3,3,3,3,3,3,-1.2653421593805,-1.2901831767647,-1.297148670574,-1.2999361568608,-1.2148878102837,-1.421901763613
132,6,"گوشیه خوبیه",2,6,0,5,4,5,4,1,-1.4260029961663,-1.3368918902331,-1.379352876437,-1.3450683360265,-1.3366497578563,-1.483639278079
136,6,"یکسال چندماهه خریدمش ازش راضیم",7,0,0,0,0,0,0,0,-1.3660253966556,-1.2874864597354,-1.2788203563841,-1.235503117731,-1.2662250107191,-1.4320103816889
137,6,"ماهه گوشیو خریدم",8,0,5,4,3,4,5,3,-1.3642308792276,-1.2838847797476,-1.3304300497859,-1.2889751953228,-1.2653487156298,-1.4309526694476
139,6,"هنگ نمیکنه سرعتش خوبه",11,0,4,4,4,5,4,4,-1.39941583863,-1.350814845771,-1.4009080592911,-1.339641801264,-1.3137760279634,-1.4916579347022
141,6,"چیزش خوبه",11,0,4,4,4,5,4,4,-1.4130415687983,-1.2958118542979,-1.3365585368978,-1.3167434536024,-1.286647449468,-1.4599623217879
142,6,"راضی ازش",11,0,4,4,4,5,4,4,-1.3590590658913,-1.2986397873662,-1.3386383858451,-1.2878165143089,-1.2703637193733,-1.4516843189781
143,6,"سلام خدمت دوستان گوشی نظر عالیه نزدیک ماهه خریدم کارم میکنم باهاش نگفته اندروید",11,1,5,5,5,5,5,4,-1.3829849373432,-1.2742536234533,-1.3327561115789,-1.3116430602583,-1.2715296484311,-1.4420802728123
146,6,"لحاظ عالیه بخواد بخره نکنه مشکل خاصی نداره اندروید",5,2,3,3,3,3,3,3,-1.4282485030168,-1.2736413150392,-1.3510348796458,-1.3137196374117,-1.2991585104435,-1.4811091025821
147,6,"سلام نزدیک ماه گوشی خریدم وخیلی ازش راضیم مخصوصا دوربینش خوبه سلفی دوربین پشتش محشره",4,1,5,5,5,5,5,5,-1.3518773269891,-1.2843400285879,-1.3323136006502,-1.2872117310339,-1.2685633224313,-1.4366429411958
151,6,"میتونین هزینه آنر بگیرین بهتره",6,1,3,3,3,3,3,3,-1.5048294439331,-1.4042112963209,-1.4636000759671,-1.4184268005259,-1.3769849933877,-1.5205303946123
155,6,"سامسونگ فایو راضیم نکرد اینو قیمتش کمتره راضیم ازش",4,0,5,4,4,4,5,5,-1.3894110478197,-1.2985033354076,-1.3354336546696,-1.31576368091,-1.3141833657077,-1.4570977903082
156,6,"بدنه بخاطر فلزی باعث مقاومت العاده ضربه طوری ماهه دارمش",4,0,5,5,4,3,5,5,-1.4048255762353,-1.2922678901049,-1.3228535080457,-1.3056060228755,-1.2673582468989,-1.4276092725526
159,6,"شیش ماهه گوشی",3,0,5,4,5,5,5,5,-1.3885026500773,-1.3117438513565,-1.3462181013884,-1.3008412561636,-1.2615598983763,-1.4113797989459
160,6,"قیمتش عالی",3,0,5,4,5,5,5,5,-1.344718248999,-1.2458497503045,-1.2909474676278,-1.252622423442,-1.2579603576466,-1.4021763121463
161,6,"توجه قیمتش",3,0,5,4,5,5,5,5,-1.4543284567285,-1.3559877612982,-1.3820432049154,-1.3376936768482,-1.3555673637348,-1.4934850559429
162,6,"گوشی خوبیه",3,0,5,4,5,5,5,5,-1.4322371412509,-1.3346962557818,-1.3803072540331,-1.3394171119076,-1.3424558807525,-1.4817407577189
164,6,"دوربینش عالیه ینی میتونید عکسای قشنگ کیفیت",3,0,5,4,5,5,5,5,-1.3617951324473,-1.26740604478,-1.327636332237,-1.3027494515863,-1.2507108025405,-1.4373880607409
165,6,"کار باهاش لذت بخشه",3,0,5,4,5,5,5,5,-1.3312012057402,-1.1621313039628,-1.3002637640858,-1.2761501388712,-1.1881763672819,-1.4211665174587
166,6,"رنج قیمت گوشی خوبیه",3,0,5,4,5,5,5,5,-1.4320360714479,-1.3713968680531,-1.4105255819003,-1.351811015231,-1.3660371748628,-1.5007361651191
167,6,"خریدم پشیمون نیستم حدود ماه تحقیق خرید",5,0,3,3,3,3,3,3,-1.4284700564006,-1.3488733470308,-1.3731011926811,-1.3285898951933,-1.3035576388154,-1.4757706597046
171,6,"بچه بهترین گوشی رده",8,0,3,3,4,4,3,2,-1.4192348829831,-1.2862920738261,-1.3502528479309,-1.329048686295,-1.3439061955351,-1.4729867649427
172,6,"گردن کلفت هستش",8,0,3,3,4,4,3,2,-1.2165707410118,-1.0909394246864,-1.1858983286752,-1.2574564818449,-1.2428878769058,-1.4045905620669
175,6,"ارتقا بدن امکانات سرعت گوشی برار میشه",5,1,5,5,4,5,4,3,-1.3836802122908,-1.2616760042331,-1.3392537030535,-1.2873092310185,-1.3321522264773,-1.4380028610701
176,6,"گوشی حدود دوماه خریدم خوبه",2,0,5,3,4,3,5,4,-1.3484736028023,-1.316519713201,-1.3267960307938,-1.244614768773,-1.2718922902299,-1.4311656651715
178,6,"پیشنهاد میکنم گوشی بخرید",2,0,5,3,4,3,5,4,-1.3927807904298,-1.3046107237346,-1.3641279685956,-1.3123463703058,-1.2910705104244,-1.4729984285027
181,6,"قاب محافظ مقاومت ضربه عالیه",1,0,5,5,5,5,5,5,-1.3970757281322,-1.3463404314674,-1.3088948362396,-1.2966960771438,-1.2740128326223,-1.44225617263
182,6,"گیگ مناسبه وقت گرم نمیشه",1,0,5,5,5,5,5,5,-1.4293324861888,-1.3226164048853,-1.3736794717588,-1.3303295487446,-1.3117413092534,-1.5002777388231
183,6,"شارژ شدنش حدود ساعت میبره عوض بلوتوث وای فای دیتای روشن حالت 3جی صبح دووم میاره باتریش",1,0,5,5,5,5,5,5,-1.3898872908689,-1.2791142999429,-1.3616072296539,-1.3219833761139,-1.263847457173,-1.4701339378474
184,6,"اندروید رسمی پاکستان میتونید مستقیم کارت نصب",1,0,5,5,5,5,5,5,-1.403186526883,-1.2494978771316,-1.3046994350034,-1.2645086407468,-1.2557407583327,-1.403220442443
186,6,"میشه توجه CPU گوشی بیت روون میشه",1,0,5,5,5,5,5,5,-1.4512218448033,-1.3015008142829,-1.3610512597869,-1.3383896989216,-1.3195624893407,-1.5202424551446
187,6,"وجه پشیمون نمیشید خریدتون",1,0,5,5,5,5,5,5,-1.3664566701905,-1.2905270662776,-1.3056693799365,-1.2586021635667,-1.2677095283737,-1.4306819110397
188,6,"رنگ طلاییش خوبی القا میکنه",1,0,5,5,5,5,5,5,-1.3888103209094,-1.2724104575706,-1.2991947386047,-1.2969301927848,-1.2756246546557,-1.4743443039198
189,6,"OTG ساپورت میکنه",1,0,5,5,5,5,5,5,-1.4177206413568,-1.3629137077114,-1.4337077482107,-1.359617406503,-1.3633749305902,-1.5083702012412
191,6,"NFC نداره",1,0,5,5,5,5,5,5,-1.4268454109075,-1.4051357031416,-1.4220785525495,-1.3422405508006,-1.3836187977518,-1.5356081816399
192,6,"4جی داره",1,0,5,5,5,5,5,5,-1.4202996575464,-1.3780622140122,-1.4501608034164,-1.4033611129855,-1.3575003702341,-1.5034100167716
193,6,"لوازم جانبیش زیاده",1,0,5,5,5,5,5,5,-1.3914819094548,-1.3043492510453,-1.3618285049611,-1.321588893057,-1.3353801673109,-1.4785185375343
195,6,"کیفیت ساخت سونی سامسونگ خنده داره وجه مقایسه نیستن",1,0,5,5,5,5,5,5,-1.4633503720155,-1.299553047486,-1.3833848436653,-1.3458659673533,-1.3381075554043,-1.4860665877287
196,6,"اکسپریا ماه نابود کیفیت ساخت قاب پشتیش",1,0,5,5,5,5,5,5,-1.4266940251412,-1.2965230221864,-1.3781119378576,-1.2968006534335,-1.3593689418141,-1.4776862230796
197,6,"دنبال گوشی رده امکانات گوشیهای رده دوربین باکیفیت حداقل نویز خرید گوشی نکنید",1,0,3,3,3,3,3,3,-1.4054533821727,-1.2962434066018,-1.3556708100833,-1.3067046927891,-1.3160713570473,-1.4750400649827
198,6,سلام,0,0,4,5,4,4,5,4,-1.498633244472,-1.4208790298295,-1.4488809636535,-1.40772922562,-1.3956820818901,-1.5282987308927
199,6,"دوستانی میخوان گوشی بگیرن گوشی گردی بازی آنلاین بدن بدوم نگرانی اقدام خرید کنن باتری گوشی عالیه",0,0,4,5,4,4,5,4,-1.3483346346774,-1.2213496961787,-1.3253205603943,-1.2800345611877,-1.2062070889538,-1.4252282599382
